source,target,interaction_freq,last_interaction,interaction_freq_normalized
0,236,328,2023-02-27 00:00:00,0.4280104712041885
0,186,13,2023-05-21 00:00:00,0.015706806282722512
0,122,126,2023-04-25 00:00:00,0.1636125654450262
0,285,72,2023-02-22 00:00:00,0.09293193717277487
0,24,347,2023-10-07 00:00:00,0.4528795811518325
0,346,45,2023-10-30 00:00:00,0.05759162303664922
0,271,217,2023-01-17 00:00:00,0.28272251308900526
0,304,16,2023-02-17 00:00:00,0.01963350785340314
0,176,112,2023-04-30 00:00:00,0.14528795811518327
0,9,259,2023-11-05 00:00:00,0.3376963350785341
0,130,14,2023-10-15 00:00:00,0.017015706806282723
0,329,102,2023-11-29 00:00:00,0.13219895287958117
0,204,360,2023-10-07 00:00:00,0.46989528795811525
0,213,215,2023-04-23 00:00:00,0.28010471204188486
0,252,230,2023-10-29 00:00:00,0.299738219895288
0,332,143,2023-01-04 00:00:00,0.18586387434554977
0,82,389,2023-03-23 00:00:00,0.5078534031413613
0,65,358,2023-08-05 00:00:00,0.4672774869109948
0,276,175,2023-05-23 00:00:00,0.22774869109947646
0,26,80,2023-04-21 00:00:00,0.10340314136125654
0,280,491,2023-06-22 00:00:00,0.6413612565445026
0,272,53,2023-02-17 00:00:00,0.06806282722513089
0,211,195,2023-02-19 00:00:00,0.25392670157068065
0,199,184,2023-06-26 00:00:00,0.23952879581151834
0,84,310,2023-05-16 00:00:00,0.40445026178010474
0,133,374,2023-08-24 00:00:00,0.48821989528795817
0,62,275,2023-03-05 00:00:00,0.3586387434554974
0,239,499,2023-07-13 00:00:00,0.6518324607329843
0,172,41,2023-10-10 00:00:00,0.05235602094240838
0,322,151,2023-11-18 00:00:00,0.19633507853403143
0,53,317,2023-07-05 00:00:00,0.4136125654450262
0,3,296,2023-04-09 00:00:00,0.3861256544502618
0,170,361,2023-02-05 00:00:00,0.47120418848167545
0,175,24,2023-12-05 00:00:00,0.03010471204188482
0,46,117,2023-05-29 00:00:00,0.15183246073298431
0,56,233,2023-11-22 00:00:00,0.30366492146596863
0,254,428,2023-07-06 00:00:00,0.5589005235602094
0,194,84,2023-07-09 00:00:00,0.10863874345549739
0,231,182,2023-04-18 00:00:00,0.23691099476439792
0,117,344,2023-05-17 00:00:00,0.4489528795811519
0,127,360,2023-12-16 00:00:00,0.46989528795811525
0,135,332,2023-02-06 00:00:00,0.43324607329842935
0,103,88,2023-10-01 00:00:00,0.11387434554973823
0,188,374,2023-05-06 00:00:00,0.48821989528795817
0,23,195,2023-05-19 00:00:00,0.25392670157068065
0,116,474,2023-11-24 00:00:00,0.6191099476439791
0,73,353,2023-10-13 00:00:00,0.46073298429319376
0,299,113,2023-12-17 00:00:00,0.14659685863874347
0,288,167,2023-01-29 00:00:00,0.2172774869109948
0,315,118,2023-01-17 00:00:00,0.1531413612565445
0,119,413,2023-06-11 00:00:00,0.5392670157068062
0,323,206,2023-05-18 00:00:00,0.268324607329843
0,48,34,2023-04-19 00:00:00,0.043193717277486915
0,57,468,2023-10-18 00:00:00,0.6112565445026178
0,200,449,2023-06-11 00:00:00,0.5863874345549738
0,98,109,2023-12-02 00:00:00,0.14136125654450263
0,313,256,2023-07-22 00:00:00,0.33376963350785344
0,63,453,2023-11-26 00:00:00,0.5916230366492147
0,344,383,2023-10-27 00:00:00,0.5
0,67,113,2023-03-12 00:00:00,0.14659685863874347
0,118,261,2023-09-10 00:00:00,0.3403141361256545
0,325,47,2023-01-25 00:00:00,0.060209424083769635
0,277,217,2023-11-02 00:00:00,0.28272251308900526
0,134,33,2023-07-17 00:00:00,0.041884816753926704
0,270,240,2023-09-28 00:00:00,0.31282722513089006
0,76,129,2023-10-11 00:00:00,0.16753926701570682
0,36,349,2023-02-28 00:00:00,0.4554973821989529
0,223,350,2023-10-02 00:00:00,0.4568062827225131
0,274,175,2023-02-27 00:00:00,0.22774869109947646
0,88,151,2023-08-11 00:00:00,0.19633507853403143
0,21,81,2023-08-21 00:00:00,0.10471204188481675
0,339,2,2023-05-15 00:00:00,0.0013089005235602095
0,108,391,2023-04-02 00:00:00,0.5104712041884817
0,197,260,2023-02-24 00:00:00,0.3390052356020943
0,169,446,2023-11-17 00:00:00,0.5824607329842932
